Simulation Temperature Fraction,DC4,DC3,Common Neighbor Analysis (Non-Diamond),Interval Common Neighbor Analysis,Ackland-Jones Analysis
0.04,15.009575128555298,50.5071337223053,0.3701438903808594,0.6067037582397461,0.1660928726196289
0.08,14.920053243637085,50.90710973739624,0.3785896301269531,0.6620512008666992,0.21810698509216309
0.12,15.670994520187378,49.35566067695618,0.38240861892700195,0.5848488807678223,0.20613336563110352
0.16,16.240689039230347,46.23064374923706,0.35022640228271484,0.6989898681640625,0.17160582542419434
0.2,15.31518030166626,48.252612590789795,0.3843224048614502,0.587754487991333,0.1901073455810547
0.24,15.094213724136353,46.82644200325012,0.37924695014953613,0.5668952465057373,0.17310714721679688
0.28,14.611162185668945,48.080561876297,0.37726521492004395,0.5730080604553223,0.1660456657409668
0.32,14.582614183425903,46.77674579620361,0.4078068733215332,0.5763366222381592,0.2769930362701416
0.36,16.582939863204956,51.470670223236084,0.47803473472595215,0.644463062286377,0.2137594223022461
0.4,17.87826418876648,49.53357768058777,0.4590280055999756,0.6613810062408447,0.23218441009521484
0.44,19.131324768066406,51.90482783317566,0.3847694396972656,0.746422290802002,0.2136681079864502
0.48,17.70002007484436,49.31689715385437,0.37002086639404297,0.6489558219909668,0.19418597221374512
0.52,20.011181354522705,50.88090896606445,0.39222240447998047,0.6057512760162354,0.18213891983032227
0.56,17.760790586471558,50.26707673072815,0.36827588081359863,0.5990707874298096,0.18772363662719727
0.6,22.079352617263794,51.42770314216614,0.3940141201019287,0.5785019397735596,0.1787412166595459
0.64,17.752217531204224,49.260714530944824,0.38698768615722656,0.7708547115325928,0.20511436462402344
0.68,21.497477054595947,50.736011266708374,0.39388275146484375,0.5789730548858643,0.18111133575439453
0.72,18.014580488204956,50.293456077575684,0.38559389114379883,0.5951769351959229,0.20618009567260742
0.76,22.083168506622314,50.832693338394165,0.36949753761291504,0.6948132514953613,0.17565059661865234
0.8,17.804259538650513,50.17190384864807,0.4021925926208496,0.5799906253814697,0.19585061073303223
0.84,20.831235885620117,48.99076056480408,0.3850984573364258,0.5529744625091553,0.18810725212097168
0.88,18.276973247528076,58.55636429786682,0.49495887756347656,0.7331202030181885,0.21023201942443848
0.92,20.811981916427612,53.86526799201965,0.39147210121154785,0.5409071445465088,0.17710471153259277
0.96,18.659777402877808,54.25511360168457,0.342195987701416,0.5077526569366455,0.16738581657409668
1.0,16.22649574279785,46.477694272994995,0.3830559253692627,0.544381856918335,0.19565248489379883
1.04,15.54787564277649,47.60864067077637,0.3914330005645752,0.5808355808258057,0.1670670509338379
1.08,16.421019315719604,49.726271629333496,0.36472177505493164,0.587897777557373,0.19515132904052734
1.12,14.509772062301636,50.105993032455444,0.39599061012268066,0.5448522567749023,0.19412946701049805
1.16,15.303983688354492,49.0678493976593,0.3827669620513916,0.5000531673431396,0.19008088111877441
1.2,14.078964948654175,49.39189171791077,0.45949363708496094,0.6113405227661133,0.18916893005371094
1.24,15.463562965393066,47.66175103187561,0.46435117721557617,0.5168452262878418,0.21203064918518066
1.28,14.9168221950531,50.13905739784241,0.3897726535797119,0.5129625797271729,0.17006134986877441
1.32,14.241983890533447,48.24091386795044,0.41965413093566895,0.5352754592895508,0.1650714874267578
1.36,15.039683818817139,47.32168126106262,0.3657975196838379,0.5061969757080078,0.1621534824371338
1.4,14.02096939086914,45.10928153991699,0.3939657211303711,0.4862511157989502,0.1731417179107666
1.44,14.268758296966553,47.41936492919922,0.369065523147583,0.5063118934631348,0.1861562728881836
1.48,14.712558507919312,47.55501198768616,0.3607046604156494,0.559232234954834,0.18508648872375488
1.52,15.542692422866821,48.4099657535553,0.5260655879974365,0.49491167068481445,0.18211007118225098
1.56,15.026485681533813,47.45953178405762,0.374251127243042,0.6181735992431641,0.2220604419708252
1.6,15.005700588226318,48.586809158325195,0.39031982421875,0.5189423561096191,0.1726391315460205
