Simulation Temperature Fraction,DC4,DC3,Common Neighbor Analysis (Diamond),Chill+
0.04,16.525649785995483,68.84103989601135,0.30437493324279785,0.40625500679016113
0.08,15.500500440597534,67.8775429725647,0.3103067874908447,0.43526291847229004
0.12,14.625648975372314,69.44401025772095,0.28227925300598145,0.40089893341064453
0.16,15.117876291275024,70.62409663200378,0.39998579025268555,0.524925708770752
0.2,15.69210696220398,68.61871242523193,0.31882166862487793,0.4682331085205078
0.24,14.220066547393799,66.53558278083801,0.28673887252807617,0.5254590511322021
0.28,14.806745290756226,68.72698473930359,0.3208022117614746,0.4543733596801758
0.32,14.461790323257446,64.24548268318176,0.38402891159057617,0.4880187511444092
0.36,14.823806762695312,70.51425886154175,0.2937028408050537,0.44632458686828613
0.4,15.762650489807129,63.86765098571777,0.3156280517578125,0.5086522102355957
0.44,14.658752679824829,63.05745506286621,0.34330248832702637,0.3689405918121338
0.48,13.670718908309937,64.04950594902039,0.3001697063446045,0.42125630378723145
0.52,13.303401947021484,63.536787271499634,0.2632255554199219,0.4709055423736572
0.56,14.338096618652344,63.30861234664917,0.32411623001098633,0.4638705253601074
0.6,15.27907419204712,65.50166988372803,0.29824185371398926,0.4230079650878906
0.64,14.877936601638794,64.92417120933533,0.33251309394836426,0.3797483444213867
0.68,14.77393627166748,63.32845878601074,0.36928772926330566,0.41182756423950195
0.72,13.13685131072998,60.37941074371338,0.3172876834869385,0.4017200469970703
0.76,14.221932172775269,61.64076042175293,0.31181907653808594,0.4157845973968506
0.8,14.292933702468872,61.923670053482056,0.27622151374816895,0.3480949401855469
0.84,14.535375356674194,59.383400440216064,0.32628345489501953,0.3381476402282715
0.88,12.322400331497192,52.61631369590759,0.2726879119873047,0.39019083976745605
0.92,12.329759120941162,52.66193246841431,0.25217270851135254,0.3620171546936035
0.96,12.331747055053711,52.86681342124939,0.25312280654907227,0.3366856575012207
1.0,12.280786037445068,52.85332441329956,0.26880717277526855,0.3462073802947998
1.04,12.727513790130615,52.680145502090454,0.2538576126098633,0.339019775390625
1.08,12.280726671218872,53.05633234977722,0.3278975486755371,0.4062225818634033
1.12,12.979358434677124,53.7195086479187,0.2606470584869385,0.35918188095092773
1.16,12.378830432891846,55.02717185020447,0.3481016159057617,0.3526935577392578
1.2,12.61303448677063,54.18510937690735,0.2477116584777832,0.3702824115753174
1.24,12.695630550384521,54.45314931869507,0.25473570823669434,0.3431568145751953
1.28,12.857941389083862,54.38420104980469,0.23723053932189941,0.43576526641845703
1.32,12.703393697738647,54.09710478782654,0.2851979732513428,0.4628159999847412
1.36,12.881158351898193,54.73987293243408,0.25420427322387695,0.4467928409576416
1.4,12.48176383972168,56.14324450492859,0.26721644401550293,0.44480419158935547
1.44,12.67001748085022,53.54969310760498,0.3458242416381836,0.4931366443634033
1.48,13.616600036621094,52.30064630508423,0.24215912818908691,0.4828047752380371
1.52,12.907726526260376,53.40905547142029,0.24575281143188477,0.48836207389831543
1.56,12.291578531265259,52.00487542152405,0.2462449073791504,0.47974157333374023
1.6,12.539066553115845,54.12275052070618,0.2391524314880371,0.4982633590698242
