Simulation Temperature Fraction,DC4,DC3,Common Neighbor Analysis (Non-Diamond),Interval Common Neighbor Analysis,Ackland-Jones Analysis
0.04,3.057070016860962,12.436541318893433,0.1763474941253662,0.25995469093322754,0.0813760757446289
0.08,3.1623082160949707,12.318815469741821,0.15842390060424805,0.27011728286743164,0.07991814613342285
0.12,3.1205873489379883,14.353389024734497,0.19507646560668945,0.2781538963317871,0.0860452651977539
0.16,3.0483670234680176,13.3377206325531,0.18790960311889648,0.27380919456481934,0.08731842041015625
0.2,3.200326681137085,13.376863956451416,0.18094682693481445,0.27368855476379395,0.08509182929992676
0.24,3.222477912902832,13.175433158874512,0.1880810260772705,0.27410054206848145,0.08797931671142578
0.28,3.100205898284912,13.1728515625,0.19824814796447754,0.30109167098999023,0.08701348304748535
0.32,3.296466112136841,13.59757113456726,0.1808469295501709,0.277294397354126,0.08591055870056152
0.36,3.167062520980835,13.414846897125244,0.16692113876342773,0.26341748237609863,0.08185982704162598
0.4,3.087698221206665,12.55320143699646,0.1732194423675537,0.2657771110534668,0.08011150360107422
0.44,3.2507245540618896,14.058863639831543,0.19721412658691406,0.2859666347503662,0.09672856330871582
0.48,3.339956521987915,13.65286374092102,0.19351768493652344,0.27187490463256836,0.09048843383789062
0.52,3.12762713432312,13.492470979690552,0.1821584701538086,0.27439069747924805,0.08617711067199707
0.56,3.1234095096588135,12.989286184310913,0.17689156532287598,0.2711822986602783,0.08209967613220215
0.6,3.2692689895629883,13.589963436126709,0.18949580192565918,0.27542948722839355,0.0912325382232666
0.64,2.8813347816467285,13.603517532348633,0.1905221939086914,0.2765681743621826,0.08864450454711914
0.68,2.7461142539978027,13.279605150222778,0.19052648544311523,0.2795236110687256,0.0889439582824707
0.72,2.750678062438965,13.457873106002808,0.18788743019104004,0.27810215950012207,0.10316085815429688
0.76,2.8129959106445312,13.754851579666138,0.19023418426513672,0.26326537132263184,0.09518241882324219
0.8,3.0081002712249756,15.054604053497314,0.19370460510253906,0.2752089500427246,0.08915472030639648
0.84,3.5233066082000732,14.916504621505737,0.19724726676940918,0.28075098991394043,0.09712004661560059
0.88,3.398606300354004,14.752472162246704,0.2010481357574463,0.3011288642883301,0.09152865409851074
0.92,3.156810760498047,14.804697513580322,0.2063589096069336,0.28329920768737793,0.09806275367736816
0.96,3.1757161617279053,14.129181861877441,0.19804596900939941,0.26815271377563477,0.0814664363861084
1.0,3.065563440322876,14.357531309127808,0.1995251178741455,0.2686614990234375,0.08325934410095215
1.04,2.9134016036987305,14.046212434768677,0.19250106811523438,0.2802920341491699,0.08548498153686523
1.08,2.9267847537994385,14.273993253707886,0.2049424648284912,0.27681827545166016,0.0908350944519043
1.12,2.9912631511688232,14.334864616394043,0.19994497299194336,0.2686960697174072,0.0959317684173584
1.16,3.1392080783843994,13.701141357421875,0.19493389129638672,0.25510215759277344,0.08888363838195801
1.2,3.1312355995178223,12.54692792892456,0.19379663467407227,0.24008584022521973,0.0749666690826416
1.24,3.1277735233306885,12.959679365158081,0.18876004219055176,0.24788427352905273,0.0829918384552002
1.28,3.140486478805542,12.672981977462769,0.1879594326019287,0.24336981773376465,0.07512545585632324
1.32,3.146496295928955,13.13615083694458,0.19832229614257812,0.24621057510375977,0.09653496742248535
1.36,3.105748176574707,12.672641277313232,0.18383002281188965,0.23940491676330566,0.07886838912963867
1.4,3.29742169380188,13.881580114364624,0.20130562782287598,0.24875402450561523,0.09004664421081543
1.44,3.217547655105591,13.949542760848999,0.20934700965881348,0.2536740303039551,0.08441734313964844
1.48,2.8456838130950928,13.838317394256592,0.19601988792419434,0.24792003631591797,0.07966995239257812
1.52,2.9152750968933105,13.692971229553223,0.19063401222229004,0.2572188377380371,0.08450007438659668
1.56,3.3421075344085693,13.495004177093506,0.1857609748840332,0.25086545944213867,0.08703970909118652
1.6,3.125234603881836,13.511712789535522,0.22186040878295898,0.2402496337890625,0.09024882316589355
